,symbol,MIS_margin_X_times,CNC_margin_X_times
0,SCRIP,0,0
1,20MICRONS,7,1
2,21STCENMGM,0,1
3,3IINFOTECH,0,1
4,3MINDIA,10,3
5,3PLAND,1,1
6,5PAISA,7,2
7,63MOONS,0,1
8,8KMILES,0,1
9,A2ZINFRA,0,1
10,AARTIDRUGS,10,2
11,AARTIIND,10,3
12,AARTISURF,1,1
13,AARVEEDEN,1,1
14,AAVAS,10,3
15,ABAN,0,1
16,ABB,10,3
17,ABBOTINDIA,10,3
18,ABCAPITAL,10,3
19,ABFRL,10,3
20,ABFRLPP,1,1
21,ABSLBANETF,7,1
22,ACC,10,3
23,ACCELYA,10,3
24,ACCELYA,1,1
25,ACE,10,2
26,ADANIENT,10,2
27,ADANIGAS,10,2
28,ADANIGREEN,5,1
29,ADANIPORTS,10,3
30,ADANIPOWER,5,2
31,ADANITRANS,10,3
32,ADFFOODS,10,3
33,ADHUNIKIND,0,1
34,ADL,0,1
35,ADORWELD,7,1
36,ADROITINFO,0,1
37,ADSL,7,2
38,ADVANIHOTR,0,1
39,ADVENZYMES,10,2
40,AEGISCHEM,10,3
41,AFFLE,10,3
42,AGARIND,7,2
43,AGCNET,0,1
44,AGRITECH,0,1
45,AHLEAST,7,1
46,AHLUCONT,10,2
47,AHLWEST,7,2
48,AIAENG,10,3
49,AJANTPHARM,10,3
50,AJMERA,7,2
51,AKSHARCHEM,7,2
52,AKSHOPTFBR,0,1
53,AKZOINDIA,10,3
54,ALANKIT,1,1
55,ALBERTDAVD,7,1
56,ALCHEM,0,1
57,ALEMBICLTD,10,2
58,ALICON,7,1
59,ALKALI,7,2
60,ALKEM,10,3
61,ALKYLAMINE,10,2
62,ALLCARGO,10,3
63,ALLSEC,7,2
64,ALMONDZ,1,1
65,ALOKINDS,1,1
66,ALPA,0,1
67,ALPHAGEO,0,1
68,ALPSINDUS,0,1
69,AMARAJABAT,10,3
70,AMBER,10,3
71,AMBIKCO,7,1
72,AMBUJACEM,10,3
73,AMDIND,1,1
74,AMJLAND,7,1
75,AMRUTANJAN,7,1
76,ANANTRAJ,1,2
77,ANDHRACEMT,0,1
78,ANDHRAPAP,7,1
79,ANDHRSUGAR,7,1
80,ANGELBRKG,7,1
81,ANIKINDS,0,1
82,ANKITMETAL,0,1
83,ANSALAPI,0,1
84,ANSALHSG,0,1
85,ANUP,1,2
86,APARINDS,10,3
87,APCL,7,2
88,APCOTEXIND,10,2
89,APEX,10,2
90,APLAPOLLO,10,3
91,APLLTD,10,3
92,APOLLO,7,2
93,APOLLOHOSP,10,3
94,APOLLOPIPE,10,3
95,APOLLOTYRE,10,3
96,APTECHT,10,2
97,ARCHIDPLY,7,2
98,ARCHIES,1,1
99,ARCOTECH,0,1
100,ARENTERP,1,1
101,ARIES,7,2
102,ARIHANT,1,1
103,ARIHANTSUP,1,2
104,ARMANFIN,10,2
105,AROGRANITE,7,2
106,ARROWGREEN,1,1
107,ARSHIYA,1,1
108,ARSSINFRA,1,1
109,ARTEMISMED,0,1
110,ARVIND,10,2
111,ARVINDFASN,10,3
112,ARVSMART,1,2
113,ASAHIINDIA,10,3
114,ASAHISONG,7,2
115,ASAL,1,1
116,ASALCBR,7,1
117,ASHAPURMIN,1,1
118,ASHIANA,7,1
119,ASHIMASYN,0,1
120,ASHOKA,10,2
121,ASHOKLEY,10,2
122,ASIANHOTNR,1,1
123,ASIANPAINT,10,3
124,ASIANTILES,10,2
125,ASTEC,10,2
126,ASTERDM,10,3
127,ASTRAL,10,3
128,ASTRAMICRO,10,3
129,ASTRAZEN,10,3
130,ASTRON,7,1
131,ATFL,10,3
132,ATLANTA,0,1
133,ATUL,10,3
134,ATULAUTO,7,1
135,AUBANK,10,3
136,AURIONPRO,7,2
137,AUROPHARMA,10,2
138,AUSOMENT,1,1
139,AUTOAXLES,10,2
140,AUTOIND,1,1
141,AUTOLITIND,1,1
142,AVADHSUGAR,7,2
143,AVANTIFEED,10,3
144,AVTNPL,7,2
145,AXISBANK,10,2
146,AXISCADES,7,2
147,AYMSYNTEX,0,1
148,BAFNAPH,0,1
149,BAGFILMS,0,1
150,BAJAJ-AUTO,10,3
151,BAJAJCON,10,3
152,BAJAJELEC,10,3
153,BAJAJFINSV,10,2
154,BAJAJHIND,0,1
155,BAJAJHLDNG,10,3
156,BAJFINANCE,10,2
157,BALAJITELE,10,2
158,BALAMINES,10,2
159,BALKRISHNA,0,1
160,BALKRISIND,10,3
161,BALLARPUR,0,1
162,BALMLAWRIE,10,3
163,BALPHARMA,0,1
164,BALRAMCHIN,10,2
165,BANARBEADS,7,2
166,BANARISUG,10,3
167,BANCOINDIA,7,1
168,BANDHANBNK,10,2
169,BANG,7,2
170,BANKBARODA,10,2
171,BANKINDIA,10,3
172,BANSWRAS,1,2
173,BARTRONICS,0,1
174,BASF,10,3
175,BASML,7,2
176,BATAINDIA,10,3
177,BAYERCROP,10,3
178,BBL,10,3
179,BBTC,10,3
180,BCG,0,1
181,BCP,0,1
182,BDL,10,3
183,BEARDSELL,0,1
184,BEDMUTHA,1,1
185,BEL,10,3
186,BEML,10,3
187,BEPL,5,1
188,BERGEPAINT,10,3
189,BFINVEST,10,2
190,BFUTILITIE,10,2
191,BGRENERGY,0,1
192,BHAGERIA,7,1
193,BHAGYANGR,1,1
194,BHAGYAPROP,1,1
195,BHANDARI,0,1
196,BHARATFORG,10,3
197,BHARATGEAR,0,1
198,BHARATRAS,7,1
199,BHARATWIRE,1,1
200,BHARTIARTL,10,3
201,BHEL,10,2
202,BIGBLOC,0,1
203,BIL,7,2
204,BILENERGY,0,1
205,BINDALAGRO,1,1
206,BIOCON,10,3
207,BIOFILCHEM,0,1
208,BIRLACABLE,7,2
209,BIRLACORPN,10,2
210,BIRLAMONEY,7,2
211,BIRLATYRE,1,1
212,BKMINDST,0,1
213,BLBLIMITED,0,1
214,BLISSGVS,10,3
215,BLKASHYAP,0,1
216,BLS,7,2
217,BLUECHIP,0,1
218,BLUEDART,5,1
219,BLUESTARCO,10,3
220,BODALCHEM,10,3
221,BOMDYEING,10,2
222,BOROLTD,7,1
223,BORORENEW,5,2
224,BOSCHLTD,10,3
225,BPCL,10,2
226,BPL,1,1
227,BRFL,1,1
228,BRIGADE,10,3
229,BRITANNIA,10,3
230,BRNL,7,1
231,BROOKS,1,1
232,BSELINFRA,0,1
233,BSL,0,1
234,BSOFT,5,1
235,BURGERKING,7,1
236,BURNPUR,0,1
